model,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L,CIDEr,RepetitionRate
lstm,0.31416968280694324,0.20582964746917062,0.1390746509950635,0.09314688444101349,0.31156425916079883,0.31645874545875385,0.0,0.0
lstm_attn,0.3119658344086622,0.20473171631066725,0.13925097064955572,0.0942489632757874,0.3295497722091595,0.336380931098425,0.0,0.0
transformer,0.24601039374297512,0.15793002354852098,0.1058401379170545,0.07201523274627052,0.2988333927067777,0.25966968886962644,5.707762557077631e-05,0.0
share_encoder,0.24739968754046793,0.1663050547228771,0.11244612940079,0.0754640587078616,0.3130701599192677,0.2956661900764542,0.0,0.0
